nama,dept,sinta_id,scopus_h_index,gs_h_index,sinta_3yr_score,sinta_score,affil_3yr_score,affil_score
HERNAWAN,Pendidikan Bahasa Sunda (S1),5987458,0,3,32,128,0,0
ATAT SITI NURANI,Pendidikan Tata Boga (S1),5999585,1,5,32,134,0,0
RAMA WIJAYA ABDUL ROZAK,Manajemen Resort dan Leisure (S1),6759147,0,3,32,64,0,0
JUPRI,Pendidikan Geografi (S1),6681759,0,3,21,65,0,0
AMAR MUFHIDIN,Pendidikan Teknik Bangunan (S1),6750051,0,3,21,36,0,0
TINA HAYATI DAHLAN,Psikologi Pendidikan (S2),5980395,1,5,21,169,0,0
NOVIYANTI ANEROS,Pendidikan Bahasa Jepang (S1),5992199,0,2,21,54,0,0
DEDE KOSASIH,Pendidikan Bahasa dan Budaya Sunda (S2),5994579,0,4,21,76,0,0
MUNAWIR,Teknik Komputer (S1),6745899,1,2,21,92,0,0
LENI PERMANA,Pendidikan Ekonomi (S1),5993300,1,3,21,86,0,0
ERNA KRISNANTO,Arsitektur (S1),6126833,1,2,21,167,0,0
RINITA ROSALINDA DEWI,Unknown,6751456,0,3,21,21,0,0
CRISTINE SITINJAK,Unknown,6758418,0,4,21,50,0,0
B LENA NURYANTI,Pendidikan Bisnis (S1),5992548,1,0,22,171,0,0
YUYU HENDAWATI,PGSD Kampus Purwakarta (S1),5995605,0,5,22,40,0,0
DADANG,Pendidikan Bahasa Indonesia (S3),6005751,1,9,22,291,0,0
HARRY SULASTIANTO,Unknown,6682881,0,4,22,277,0,0
MESIANNA SIMBOLON,Unknown,6682055,1,1,22,22,0,0
JAJANG WARYA,Ilmu Ekonomi dan Keuangan Islam (S1),5993287,0,5,22,92,0,0
HENI NURAENI ZAENUDIN,Ilmu Komunikasi (S1),6122531,1,3,22,90,0,0
MOCHAMAD FATHUR RAHMAN,Unknown,6759984,0,9,22,135,0,0
MUTAUFIQ,Unknown,5994138,2,0,21,77,0,0
FRANSISCA SUDARGO,Pendidikan Ilmu Pengetahuan Alam (S3),6671525,2,9,21,306,0,0
CARIA NINGSIH,Pariwisata (S2),6039392,0,5,24,107,0,0
HENRY VIRGAN,Pendidikan Seni Musik (S1),6139988,0,0,24,50,0,0
JOJOR RENTA MARANATHA,PGPAUD Kampus Purwakarta (S1),6667719,0,1,24,47,0,0
ZACKIYAH,Unknown,6683065,2,5,24,155,0,0
ASMA AZIZAH,Pendidikan Bahasa Korea (S1),6705531,0,0,24,32,0,0
ARIEF BUDIMAN,Kewirausahaan Kampus Tasikmalaya (S1),5992927,0,2,24,49,0,0
FARID ABDULLAH,Pendidikan Seni Rupa (S1),5993877,0,2,24,45,0,0
SUHERMAN SLAMET,PGSD Pendidikan Jasmani (S1),5996323,0,3,24,67,0,0
HODIDJAH,PGSD Kampus Tasikmalaya (S1),5994517,0,3,23,84,0,0
AGUNG SETYO SASONGKO,Pendidikan Kelautan dan Perikanan Kampus Serang (S1),6692607,0,2,23,34,0,0
DEDAH NINGRUM,Keperawatan Kampus Sumedang (D3),6130820,0,2,23,24,0,0
DWI ALIA,PGSD Kampus Tasikmalaya (S1),6681261,0,1,23,49,0,0
JAYANTI MEGASARI,Unknown,6745831,0,0,23,32,0,0
PURNAWAN,Pendidikan Teknik Mesin (S1),5976918,0,4,23,165,0,0
RAMA WIJAYA ABDUL ROZAK,Unknown,6655158,0,3,23,173,0,0
HADY SITI HADIJAH,Manajemen Perkantoran (S2),5994566,0,7,22,106,0,0
RINA NURHUDI RAMDHANI,Bimbingan Dan Konseling (S1),6697084,0,2,22,24,0,0
RANGGA GELAR GUNTARA,Unknown,6738149,1,3,22,52,0,0
SILVIANA AGUSTAMI,Akuntansi (S1),6135191,0,7,22,145,0,0
JAJAT,Unknown,6682116,2,0,22,64,0,0
IQBAL LHUTFI,Pendidikan Akuntansi (S1),6745836,0,2,19,21,0,0
YENI YUNIARTI,Unknown,5977425,0,9,19,100,0,0
MUHAMMAD TAUFIK DWI PUTRA,Teknik Komputer (S1),6745726,1,0,19,19,0,0
NANANG DALIL HERMAN,Pendidikan Teknologi dan Kejuruan (S2),6040771,0,2,19,65,0,0
MOHAMAD ZAKA AL FARISI,Pendidikan Bahasa Arab (S1),258095,2,8,19,297,0,0
IMAS PURNAMASARI,Pendidikan Akuntansi (S1),5995993,0,8,19,129,0,0
DADI MULYADI,Unknown,6689987,0,2,19,25,0,0
IDRUS AFFANDI,Pendidikan Kewarganegaraan (S3),6745710,1,9,19,201,0,0
SILMI ATH THAHIRAH ,Unknown,6745812,0,0,19,19,0,0
MAYA PURNAMA SARI,Pendidikan Multimedia Kampus Cibiru (S1),6125027,0,3,18,74,0,0
ANEU CAKHYANEU,Ilmu Ekonomi dan Keuangan Islam (S1),5994677,0,3,17,39,0,0
YONA WAHYUNINGSIH,PGSD Kampus Cibiru (S1),6004841,0,2,17,45,0,0
NURALY MASUM APRILY,PGPAUD Kampus Tasikmalaya (S1),6746170,0,3,17,19,0,0
TRI KARYONO,Pendidikan Seni (S3),5994642,0,6,17,150,0,0
FIRMANSYAH,Ilmu Ekonomi dan Keuangan Islam (S1),5995005,0,3,17,50,0,0
AHMAD MULYADIPRANA,PGSD Kampus Tasikmalaya (S1),6000290,0,5,17,69,0,0
TATANG SURATNO,Unknown,6729458,2,11,17,275,0,0
